Metric,Subject,Occasion,ReferenceSubject,ReferenceOccasion,PathIndex,PathLength,NormalizedPathPosition,ReferenceOriginalFrameIndex,ReferenceValidFrameIndex,ReferenceNormalizedFramePosition,ReferenceValue,TargetOriginalFrameIndex,TargetValidFrameIndex,TargetNormalizedFramePosition,TargetValue,LocalAbsoluteCost,Comparison_DTWnorm
SFR,E01,Z2,M2025,REF,59,69,0.867647058824,51,51,0.850000000000,18.061279020804,51,51,0.894736842105,14.784167753081,3.277111267722,2.780371099667
SFR,E01,Z2,M2025,REF,60,69,0.882352941176,52,52,0.866666666667,18.008989514847,52,52,0.912280701754,22.769989561360,4.761000046513,2.780371099667
SFR,E01,Z2,M2025,REF,61,69,0.897058823529,53,53,0.883333333333,28.696834085206,53,53,0.929824561404,31.241073736929,2.544239651723,2.780371099667
SFR,E01,Z2,M2025,REF,62,69,0.911764705882,54,54,0.900000000000,21.216549452171,54,54,0.947368421053,19.256607428179,1.959942023992,2.780371099667
SFR,E01,Z2,M2025,REF,63,69,0.926470588235,55,55,0.916666666667,19.431646281337,54,54,0.947368421053,19.256607428179,0.175038853158,2.780371099667
SFR,E01,Z2,M2025,REF,64,69,0.941176470588,56,56,0.933333333333,17.099968832302,54,54,0.947368421053,19.256607428179,2.156638595877,2.780371099667
SFR,E01,Z2,M2025,REF,65,69,0.955882352941,57,57,0.950000000000,15.684069086103,55,55,0.964912280702,29.451656216166,13.767587130063,2.780371099667
SFR,E01,Z2,M2025,REF,66,69,0.970588235294,58,58,0.966666666667,13.403921276267,56,56,0.982456140351,10.066966399813,3.336954876454,2.780371099667
SFR,E01,Z2,M2025,REF,67,69,0.985294117647,59,59,0.983333333333,9.309132877968,56,56,0.982456140351,10.066966399813,0.757833521845,2.780371099667
SFR,E01,Z2,M2025,REF,68,69,1.000000000000,60,60,1.000000000000,7.054773464338,57,57,1.000000000000,7.330697565024,0.275924100686,2.780371099667
Q_value,E01,Z1,M2025,REF,0,54,0.000000000000,0,0,0.000000000000,3.447937054269,9,0,0.000000000000,8.149629684600,4.701692630331,15.422978759639
Q_value,E01,Z1,M2025,REF,1,54,0.018867924528,5,1,0.021739130435,7.455585348620,11,1,0.052631578947,16.011747153965,8.556161805344,15.422978759639
Q_value,E01,Z1,M2025,REF,2,54,0.037735849057,5,1,0.021739130435,7.455585348620,12,2,0.105263157895,4.687912481449,2.767672867172,15.422978759639
Q_value,E01,Z1,M2025,REF,3,54,0.056603773585,6,2,0.043478260870,16.992255148086,14,3,0.157894736842,12.581617036056,4.410638112029,15.422978759639
Q_value,E01,Z1,M2025,REF,4,54,0.075471698113,7,3,0.065217391304,19.801359836563,15,4,0.210526315789,9.639081604326,10.162278232237,15.422978759639
Q_value,E01,Z1,M2025,REF,5,54,0.094339622642,8,4,0.086956521739,27.015376883889,16,5,0.263157894737,23.031979158222,3.983397725667,15.422978759639
Q_value,E01,Z1,M2025,REF,6,54,0.113207547170,10,5,0.108695652174,21.603104881885,16,5,0.263157894737,23.031979158222,1.428874276336,15.422978759639
Q_value,E01,Z1,M2025,REF,7,54,0.132075471698,11,6,0.130434782609,86.322322079012,16,5,0.263157894737,23.031979158222,63.290342920790,15.422978759639
Q_value,E01,Z1,M2025,REF,8,54,0.150943396226,12,7,0.152173913043,81.656393483963,16,5,0.263157894737,23.031979158222,58.624414325741,15.422978759639
Q_value,E01,Z1,M2025,REF,9,54,0.169811320755,13,8,0.173913043478,23.709688313149,16,5,0.263157894737,23.031979158222,0.677709154928,15.422978759639
Q_value,E01,Z1,M2025,REF,10,54,0.188679245283,14,9,0.195652173913,21.957404367272,16,5,0.263157894737,23.031979158222,1.074574790950,15.422978759639
Q_value,E01,Z1,M2025,REF,11,54,0.207547169811,15,10,0.217391304348,38.689814008544,16,5,0.263157894737,23.031979158222,15.657834850322,15.422978759639
Q_value,E01,Z1,M2025,REF,12,54,0.226415094340,16,11,0.239130434783,62.103287577067,16,5,0.263157894737,23.031979158222,39.071308418845,15.422978759639
Q_value,E01,Z1,M2025,REF,13,54,0.245283018868,17,12,0.260869565217,61.210006703417,16,5,0.263157894737,23.031979158222,38.178027545195,15.422978759639
Q_value,E01,Z1,M2025,REF,14,54,0.264150943396,18,13,0.282608695652,16.842821272505,16,5,0.263157894737,23.031979158222,6.189157885716,15.422978759639
Q_value,E01,Z1,M2025,REF,15,54,0.283018867925,19,14,0.304347826087,27.901129670225,16,5,0.263157894737,23.031979158222,4.869150512003,15.422978759639
Q_value,E01,Z1,M2025,REF,16,54,0.301886792453,20,15,0.326086956522,25.587494683788,16,5,0.263157894737,23.031979158222,2.555515525566,15.422978759639
Q_value,E01,Z1,M2025,REF,17,54,0.320754716981,21,16,0.347826086957,39.623076202212,16,5,0.263157894737,23.031979158222,16.591097043990,15.422978759639
Q_value,E01,Z1,M2025,REF,18,54,0.339622641509,22,17,0.369565217391,40.501518096056,16,5,0.263157894737,23.031979158222,17.469538937834,15.422978759639
